depth2,depth3,polywidth2,polywidth3,resonance2,resonance3,q_factor2,q_factor3
2,3,1,1,967.9502,728.3936,32.00695,30.04377
2,3,0.1,0.1,320.3849,246.2486,11.03681,10.34683
2,3,0.2,0.2,455.3895,349.327,15.68752,14.67796
2,3,0.3,0.3,560.4513,428.8711,19.30675,18.02023
2,3,0.4,0.4,650.1684,496.7742,22.39738,20.87338
2,3,0.5,0.5,730.357,556.7739,25.15976,23.39443
2,3,0.6,0.6,803.9271,611.8605,27.69415,25.70905
2,3,0.7,0.7,872.3378,662.5319,30.0508,27.83815
2,3,0.8,0.8,936.645,710.0535,32.26609,29.83491
2,3,0.9,0.9,998.1936,755.0282,34.38636,31.72465
2,3,1,1,1056.6145,797.8941,36.398872,33.52578
2,3,0.1,0.1,350.4792,270.3943,12.38789,11.45136
2,3,0.2,0.2,498.1604,383.6506,17.60777,16.24783
2,3,0.3,0.3,613.0764,471.0805,21.66954,19.95054
2,3,0.4,0.4,711.4125,545.3632,25.14529,23.09646
2,3,0.5,0.5,799.1288,611.322,28.24567,25.88986
2,3,0.6,0.6,879.597,671.9317,31.08987,28.45671
2,3,0.7,0.7,954.4012,727.6887,33.73386,30.81806
2,3,0.8,0.8,1025.0267,780.0041,36.230162,33.03365
2,3,0.9,0.9,1091.973,829.5387,38.596419,35.13147
2,3,1,1,1156.1751,876.7732,40.865678,37.13188
2,3,0.1,0.1,384.3369,297.9655,13.76524,12.60326
2,3,0.2,0.2,546.2797,422.5304,19.56531,17.87207
2,3,0.3,0.3,672.2796,518.9065,24.07807,21.94856
2,3,0.4,0.4,780.0927,600.8315,27.93945,25.4138
2,3,0.5,0.5,876.5297,673.6131,31.3934,28.49229
2,3,0.6,0.6,964.4364,739.9679,34.54182,31.29895
2,3,0.7,0.7,1046.7483,801.5063,37.489872,33.90188
2,3,0.8,0.8,1124.1473,858.5837,40.261959,36.31613
2,3,0.9,0.9,1197.4834,913.2623,42.888532,38.62891
2,3,1,1,1267.7978,965.4286,45.406883,40.83542
2,3,0.1,0.1,422.8026,329.1766,15.18178,13.79374
2,3,0.2,0.2,600.9493,466.8747,21.57858,19.56381
2,3,0.3,0.3,739.5427,573.4716,26.55512,24.03063
2,3,0.4,0.4,858.1232,663.583,30.81305,27.80664
